# Source: https://andersonbioinfo.github.io/SurfSeq_Gene_coverage/
# Repo: https://github.com/andersonbioinfo/SurfSeq_Gene_coverage  commit 9ef3f77e31f998947672920e86f1e091fcfce5f5 (2025-07-26)
# Column: percentage of each gene's coding region covered by the SurfSeq panel design
gene	pct_coding_covered
ANK3	100
ANKAR	96.447
ANKDD1A	100
ANKDD1B	100
ANKEF1	100
ANKFN1	100
ANKFY1	100
ANKH	100
ANKHD1	100
ANKHD1-EIF4EBP3	100
ANKIB1	100
ANKK1	100
ANKLE1	100
ANKLE2	99.1002
ANKMY1	100
ANKMY2	100
ANKRA2	100
ANKRD1	100
ANKRD10	100
ANKRD11	99.9801
ANKRD12	100
ANKRD13A	100
ANKRD13B	100
ANKRD13C	92.3077
ANKRD13D	100
ANKRD16	99.4268
ANKRD17	100
ANKRD18A	100
ANKRD18B	98.5317
ANKRD2	100
ANKRD20A1	64.9534
ANKRD22	100
ANKRD23	100
ANKRD24	99.7749
ANKRD26	100
ANKRD27	100
ANKRD28	100
ANKRD29	100
ANKRD30A	72.7273
ANKRD30B	95.3488
ANKRD30BL	91.6475
ANKRD31	100
ANKRD33	100
ANKRD33B	99.9863
ANKRD34A	100
ANKRD34B	100
ANKRD34C	100
ANKRD35	100
ANKRD36	93.1078
ANKRD36B	88.5947
ANKRD36C	90.6974
ANKRD37	100
ANKRD39	100
ANKRD40	100
ANKRD40CL	100
ANKRD42	100
ANKRD44	100
ANKRD45	100
ANKRD46	100
ANKRD49	100
ANKRD50	100
ANKRD52	100
ANKRD53	100
ANKRD54	100
ANKRD55	100
ANKRD6	100
ANKRD60	96.9884
ANKRD62	100
ANKRD63	97.7603
ANKRD65	91.6328
ANKRD66	100
ANKRD7	100
ANKRD9	93.8155
ANKS1A	99.9919
ANKS1B	100
ANKS3	100
ANKS4B	100
ANKS6	98.5351
ANKUB1	100
ANKZF1	100
ANLN	100
ANO1	100
ANO10	100
ANO2	100
ANO3	100
ANO4	100
ANO5	100
ANO6	100
ANO7	100
ANO8	97.8041
ANO9	99.4828
ANOS1	100
ANP32A	100
ANP32B	100
ANP32D	100
ANP32E	100
ANPEP	100
ANTKMT	97.3827
ANTXR1	100
ANTXR2	100
ANTXRL	100
ANXA1	100
ANXA10	92.3077
ANXA11	100
ANXA13	100
ANXA2	100
ANXA2R	100
ANXA3	100
ANXA4	100
ANXA5	100
ANXA6	100
ANXA7	100
ANXA8	57.7945
ANXA8L1	52.1132
ANXA9	100
AOAH	100
AOC1	100
AOC2	100
AOC3	100
AOPEP	100
AOX1	100
AP1AR	100
AP1B1	100
AP1G1	100
AP1G2	100
AP1M1	100
AP1M2	100
AP1S1	100
AP1S2	98.7302
AP1S3	100
AP2A1	100
AP2A2	100
AP2B1	100
AP2M1	100
AP2S1	100
AP3B1	100
AP3B2	100
AP3D1	100
AP3M1	100
AP3M2	100
AP3S1	100
AP3S2	100
AP4B1	100
AP4E1	100
AP4M1	100
AP4S1	100
AP5B1	100
AP5M1	100
AP5S1	100
AP5Z1	100
APAF1	100
APBA1	99.9972
APBA2	100
APBA3	100
APBB1	100
APBB1IP	98.4615
APBB2	100
APBB3	100
APC	100
APC2	99.9146
APCDD1	100
APCDD1L	100
APCS	100
APEH	100
APELA	100
APEX1	100
APEX2	100
APH1A	100
APH1B	100
API5	100
APIP	100
APLF	100
APLN	100
APLNR	100
APLP1	100
APLP2	100
APMAP	100
APOA1	100
APOA2	100
APOA4	100
APOA5	100
APOB	98.8455
APOBEC1	100
APOBEC2	100
APOBEC3A	100
APOBEC3B	99.1334
APOBEC3C	100
APOBEC3D	100
APOBEC3F	100
APOBEC3G	100
APOBEC3H	100
APOBR	100
APOC1	100
APOC2	100
APOC3	100
APOC4	100
APOD	100
APOE	100
APOF	100
APOH	100
APOL1	100
APOL2	100
APOL3	100
APOL4	100
APOL5	100
APOL6	100
APOLD1	99.9283
APOM	100
APOO	100
APOOL	100
APP	100
APPBP2	100
APPL1	100
APPL2	100
APRT	100
APTX	100
AQP1	100
AQP10	100
AQP11	100
AQP12A	54.0085
AQP12B	60.8654
AQP2	100
AQP3	100
AQP4	100
AQP5	100
AQP6	100
AQP7	100
AQP7B	100
AQP8	100
AQP9	100
AQR	98.2857
AR	99.9419
ARAF	100
ARAP1	100
ARAP2	100
ARAP3	100
ARC	100
ARCN1	100
AREG	100
AREL1	100
ARF1	100
ARF3	100
ARF5	100
ARF6	100
ARFGAP1	100
ARFGAP2	100
ARFGAP3	100
ARFGEF1	100
ARFGEF2	100
ARFGEF3	100
ARFIP1	100
ARFIP2	100
ARFRP1	100
ARG1	100
ARG2	100
ARGFX	100
ARGLU1	100
ARHGAP1	100
ARHGAP10	100
ARHGAP11A	100
ARHGAP11A-SCG5	100
ARHGAP11B	100
ARHGAP12	100
ARHGAP15	100
ARHGAP17	100
ARHGAP18	100
ARHGAP19	100
ARHGAP20	100
ARHGAP21	100
ARHGAP22	100
ARHGAP23	99.874
ARHGAP24	100
ARHGAP25	100
ARHGAP26	100
ARHGAP27	99.7631
ARHGAP28	100
ARHGAP29	100
ARHGAP30	100
ARHGAP31	100
ARHGAP32	100
ARHGAP33	99.9731
ARHGAP35	100
ARHGAP36	100
ARHGAP39	100
ARHGAP4	100
ARHGAP40	100
ARHGAP42	90.9644
ARHGAP44	100
ARHGAP45	100
ARHGAP5	100
ARHGAP6	100
ARHGAP9	100
ARHGDIA	100
ARHGDIB	100
ARHGDIG	99.2694
ARHGEF1	100
ARHGEF10	100
ARHGEF10L	100
ARHGEF11	100
ARHGEF12	100
ARHGEF15	100
ARHGEF16	100
ARHGEF17	99.9764
ARHGEF18	100
ARHGEF19	100
ARHGEF2	100
ARHGEF25	100
ARHGEF26	100
ARHGEF28	100
ARHGEF3	100
ARHGEF33	99.901
ARHGEF35	93.6632
